brand,n_pairs,n_customers,english_rate,deflection_rate,resolution_rate,resolution_ci_lo,resolution_ci_hi,groundable_pairs,specificity_rate,mean_reply_len,followup_rate,gratitude_rate,still_broken_rate,gratitude_lift,n_rate_sample,score
AlaskaAir,3081,2149,0.9986666666666667,0.12583444592790388,0.8741655540720961,0.8618157543391188,0.8862149532710281,2689.713,0.02303070761014686,72.78604806408545,0.3251001335113485,0.27720739219712526,0.006160164271047228,-0.08141626209312436,3000,0.6541186817630169
marksandspencer,3888,2644,0.9996666666666667,0.14638212737579193,0.8536178726242081,0.839921640546849,0.8679559853284429,3317.76,0.034678226075358455,101.8212737579193,0.39846615538512836,0.2803347280334728,0.0100418410041841,-0.05941213258286426,3000,0.6540081931671501
AirAsiaSupport,4503,2283,0.9786666666666667,0.18153950953678474,0.8184604904632152,0.8038061989100818,0.8314032697547684,3606.903,0.09366485013623978,102.52826975476839,0.4213215258855586,0.26839126919967665,0.012126111560226353,-0.024908259186648574,3000,0.6526948760105143
sainsburys,7639,4072,0.9996666666666667,0.20440146715571858,0.7955985328442814,0.7815771923974658,0.8106202067355786,6075.551333333334,0.05901967322440813,104.67422474158053,0.4688229409803268,0.22475106685633,0.007112375533428165,-0.04597872255964433,3000,0.6523898395524846
TfL,928,665,0.9989224137931034,0.09600862998921252,0.9039913700107874,0.8878101402373247,0.9223300970873787,838.0,0.10787486515641856,107.24811218985977,0.2988133764832794,0.37906137184115524,0.018050541516245487,-0.19468390804597702,928,0.6466854315488053
USCellularCares,509,235,1.0,0.03339882121807466,0.9666011787819253,0.9508840864440079,0.9823182711198428,492.0,0.0412573673870334,84.78585461689588,0.6247544204322201,0.1069182389937107,0.006289308176100629,,509,0.6442639239285108
airtel_care,3114,1177,0.9973333333333333,0.17045454545454544,0.8295454545454546,0.8148395721925134,0.8422543449197861,2576.3160000000003,0.07419786096256685,97.43683155080214,0.3084893048128342,0.15384615384615385,0.020585048754062838,0.058359098107231736,3000,0.6428760015157253
NikeSupport,1885,811,0.9405835543766579,0.18104906937394247,0.8189509306260575,0.8020304568527918,0.8375634517766497,1452.0,0.1895093062605753,91.8663282571912,0.6271855611957134,0.19424460431654678,0.03237410071942446,-0.035671118785231826,1885,0.6425724547192723
Kimpton,628,403,1.0,0.03662420382165605,0.9633757961783439,0.9474124203821657,0.9777468152866242,605.0,0.006369426751592357,90.48726114649682,0.27229299363057324,0.23391812865497075,0.0,-0.19654088050314467,628,0.6425406501337791
Safaricom_Care,6726,3548,0.999,0.22022022022022023,0.7797797797797797,0.7660994327660995,0.7917917917917918,5239.554,0.06606606606606606,69.82615949282616,0.4167500834167501,0.20096076861489193,0.01120896717373899,0.13800657174151149,3000,0.641879256945014
VirginAtlantic,2034,1219,0.9995083579154376,0.13280865715691098,0.8671913428430891,0.852926709296606,0.8814682734874569,1763.0,0.02164289227742253,81.0850959173635,0.5169699950811608,0.2654614652711703,0.009514747859181731,-0.06207756286643684,2034,0.6370019999927058
JetBlue,3153,2038,0.9926666666666667,0.16756212222968436,0.8324378777703156,0.8196692411014104,0.8455339153794493,2605.429,0.01880456682337139,83.08999328408328,0.44795164539959703,0.25487256371814093,0.0074962518740629685,-0.14165159734779992,3000,0.633463390727915
